AMD Ryzen 3 1200
AMD Ryzen 3 1300X
AMD Ryzen 3 2200G
AMD Ryzen 3 3100
AMD Ryzen 3 3200G
AMD Ryzen 3 3300X
AMD Ryzen 3 4100
AMD Ryzen 5 1400
AMD Ryzen 5 1500X
AMD Ryzen 5 1600
AMD Ryzen 5 1600X
AMD Ryzen 5 2400G
AMD Ryzen 5 2600
AMD Ryzen 5 2600X
AMD Ryzen 5 3400G
AMD Ryzen 5 3500
AMD Ryzen 5 3500X
AMD Ryzen 5 3600
AMD Ryzen 5 3600X
AMD Ryzen 5 4500
AMD Ryzen 5 4600G
AMD Ryzen 5 5500
AMD Ryzen 5 5600
AMD Ryzen 5 5600G
AMD Ryzen 5 5600X
AMD Ryzen 5 5600X3D
AMD Ryzen 5 7500F
AMD Ryzen 5 7600
AMD Ryzen 5 7600X
AMD Ryzen 5 8500G
AMD Ryzen 5 8600G
AMD Ryzen 5 9600X
AMD Ryzen 7 1700
AMD Ryzen 7 1700X
AMD Ryzen 7 1800X
AMD Ryzen 7 2700
AMD Ryzen 7 2700X
AMD Ryzen 7 3700X
AMD Ryzen 7 3800X
AMD Ryzen 7 5700
AMD Ryzen 7 5700G
AMD Ryzen 7 5700X
AMD Ryzen 7 5700X3D
AMD Ryzen 7 5800X
AMD Ryzen 7 5800X3D
AMD Ryzen 7 7700
AMD Ryzen 7 7700X
AMD Ryzen 7 7800X3D
AMD Ryzen 7 8700F
AMD Ryzen 7 8700G
AMD Ryzen 7 9700X
AMD Ryzen 9 3900
AMD Ryzen 9 3900X
AMD Ryzen 9 3950X
AMD Ryzen 9 5900X
AMD Ryzen 9 5950X
AMD Ryzen 9 7900
AMD Ryzen 9 7900X
AMD Ryzen 9 7900X3D
AMD Ryzen 9 7950X
AMD Ryzen 9 7950X3D
AMD Ryzen 9 9900X
AMD Ryzen 9 9950X
